ProlificID,Age,Gender.1.Male,HouseholdIncome,Education,PoliticalOrientation,COVID19Consumption,AnxietyOwnHealth,AnxietyLovedOnes,AnxietyLockdown,AnxietyIncome,AnxietyExercise,AnxietySupplies,AnxietySocializing,Anxiety_factor_noSTAI,Anxiety_factor_STAI,STAI_Score,STAI_scaled,Dependents,HealthCareInsuranceSatisfaction,Ethnicity
1,43,2,6,3,2,4,24,25,100,100,100,86,0,62.14285714,66.875,80,100,2,2,0
2,26,1,4,2,1,4,13,34,0,19,0,14,27,15.28571429,15.45833333,30,16.66666667,2,2,0
3,24,2,3,3,1,5,100,100,100,100,0,100,59,79.85714286,74.73611111,43.33333333,38.88888888,2,1,0
4,53,2,6,2,2,6,81,98,73,58,52,69,82,73.28571429,74.54166667,70,83.33333333,1,1,0
5,36,2,2,1,1,5,62,79,61,90,15,74,66,63.85714286,57.95833333,30,16.66666667,1,3,0
6,23,1,1,1,1,4,59,74,53,95,45,64,10,57.14285714,56.94444444,53.33333333,55.55555555,2,1,0
7,23,2,3,3,1,3,69,85,77,81,100,100,74,83.71428571,79.5,50,50,1,1,0
8,26,2,5,3,2,5,54,84,65,100,100,62,35,71.42857143,69.44444444,53.33333333,55.55555555,2,3,0
9,34,2,6,3,1,5,81,100,57,75,82,88,29,73.14285714,75.11111111,73.33333333,88.88888888,2,3,0
10,38,1,1,4,1,4,56,66,54,72,50,51,37,55.14285714,55.19444444,53.33333333,55.55555555,2,1,0
11,53,2,8,2,2,5,85,86,21,92,0,85,9,54,52.11111111,43.33333333,38.88888888,1,3,0
12,42,1,4,3,1,5,78,94,20,74,13,45,10,47.71428571,49.38888889,56.66666667,61.11111112,1,1,0
13,25,1,5,2,2,6,21,56,66,56,75,27,80,54.42857143,47.625,20,0,2,4,0
14,23,1,1,1,1,4,83,100,85,100,0,84,0,64.57142857,66.22222222,66.66666667,77.77777778,2,3,0
15,51,2,2,3,1,6,100,100,26,83,100,100,27,76.57142857,74.63888889,56.66666667,61.11111112,1,3,0
16,22,1,1,1,1,5,28,100,96,71,86,83,68,76,75.52777778,63.33333333,72.22222222,2,3,0
17,36,2,6,3,1,5,71,100,77,100,3,100,31,68.85714286,67.19444444,53.33333333,55.55555555,1,3,0
18,29,1,8,2,1,4,59,57,56,57,51,50,51,54.42857143,53.875,50,50,2,2,0
19,57,1,3,1,2,5,100,83,65,100,6,69,28,64.42857143,60.54166667,40,33.33333333,2,3,0
20,32,2,7,1,2,3,19,83,5,12,23,75,35,36,37.05555556,46.66666667,44.44444445,1,3,0
21,60,2,6,3,1,3,60,51,27,61,1,0,19,31.28571429,30.15277778,33.33333333,22.22222222,2,1,0
22,57,2,3,1,2,4,100,61,0,72,0,63,0,42.28571429,39.77777778,33.33333333,22.22222222,2,3,0
23,26,2,2,4,1,4,14,100,50,49,23,9,100,49.28571429,50.76388889,56.66666667,61.11111112,2,2,0
24,43,1,4,2,1,4,78,90,3,87,3,60,5,46.57142857,41.44444444,23.33333333,5.55555555,2,4,0
25,26,1,8,3,2,4,65,91,54,43,71,52,55,61.57142857,56.65277778,33.33333333,22.22222222,2,4,0
26,18,2,2,1,1,4,63,100,73,100,56,78,73,77.57142857,76.20833333,60,66.66666667,2,2,0
27,27,2,4,3,1,5,84,97,95,100,74,97,96,91.85714286,88.01388889,56.66666667,61.11111112,2,2,0
28,19,2,1,1,1,5,0,100,72,82,14,79,62,58.42857143,56.68055556,46.66666667,44.44444445,2,3,0
29,30,1,1,2,1,5,84,100,81,100,0,100,0,66.42857143,65.06944444,53.33333333,55.55555555,2,2,1
30,32,1,1,4,2,3,68,82,68,100,96,41,100,79.28571429,74.23611111,43.33333333,38.88888888,2,2,1
31,25,1,3,1,1,4,38,100,10,19,55,23,0,35,30.625,20,0,2,1,1
32,26,1,7,3,1,5,56,90,70,42,68,73,44,63.28571429,58.15277778,33.33333333,22.22222222,2,3,1
33,40,1,4,3,1,4,89,100,81,94,60,95,90,87,85.15277778,63.33333333,72.22222222,2,2,1
34,53,1,5,4,1,5,71,83,27,43,65,35,16,48.57142857,45.27777778,33.33333333,22.22222222,1,3,1
35,50,1,8,3,1,5,59,60,25,65,63,11,71,50.57142857,48.41666667,40,33.33333333,1,3,1
36,31,1,6,3,2,4,12,47,52,20,19,21,24,27.85714286,29.93055556,46.66666667,44.44444445,2,3,1
37,24,1,3,4,2,4,67,80,65,72,74,87,27,67.42857143,64.55555556,46.66666667,44.44444445,2,2,1
38,29,1,6,3,1,6,100,100,100,100,100,84,62,92.28571429,89.77777778,63.33333333,72.22222222,2,3,1
39,29,1,3,3,1,6,27,41,62,52,83,72,95,61.71428571,65.11111111,73.33333333,88.88888888,2,3,1
40,21,2,3,3,1,4,56,67,45,71,36,37,37,49.85714286,47.09722222,36.66666667,27.77777778,2,1,1
41,32,1,4,4,1,4,85,94,28,87,58,76,31,65.57142857,66.40277778,63.33333333,72.22222222,2,3,1
42,34,1,7,4,1,4,64,89,9,75,0,8,12,36.71428571,40.45833333,60,66.66666667,2,3,1
43,19,1,8,1,1,5,55,65,62,26,42,42,41,47.57142857,46.48611111,43.33333333,38.88888888,2,3,1
44,19,2,8,1,1,4,66,73,78,54,7,13,0,41.57142857,39.15277778,33.33333333,22.22222222,2,3,1
45,29,1,8,4,1,5,15,31,67,98,76,61,27,53.57142857,56.59722222,66.66666667,77.77777778,2,3,1
46,46,2,8,3,2,5,78,83,46,63,16,60,58,57.71428571,54.66666667,40,33.33333333,1,3,1
47,38,1,6,3,1,5,73,76,79,74,78,75,79,76.28571429,73,50,50,2,3,1
48,24,1,5,3,1,4,24,74,39,47,24,23,54,40.71428571,38.40277778,33.33333333,22.22222222,2,3,1
49,34,2,1,2,1,5,75,89,47,100,13,86,0,58.57142857,60.27777778,63.33333333,72.22222222,2,1,1
50,18,1,1,1,1,5,22,56,58,0,52,61,28,39.57142857,34.625,20,0,2,4,1
51,59,1,4,2,2,4,67,78,16,68,19,67,18,47.57142857,43.70833333,30,16.66666667,2,3,1
52,20,1,7,1,1,4,68,96,65,66,30,89,48,66,64.69444444,53.33333333,55.55555555,2,2,1
53,18,1,6,1,2,3,100,52,60,0,63,64,100,62.71428571,63.20833333,60,66.66666667,2,3,1
54,49,2,8,3,1,5,65,98,54,61,59,22,20,54.14285714,50.15277778,33.33333333,22.22222222,1,4,1
55,20,2,5,1,1,3,72,100,63,64,67,69,92,75.28571429,70.73611111,43.33333333,38.88888888,2,4,1
56,19,1,5,1,2,5,59,70,64,55,54,61,47,58.57142857,56.80555556,46.66666667,44.44444445,2,3,1
57,18,2,2,1,1,3,74,91,43,75,3,81,0,52.42857143,57.68055556,76.66666667,94.44444445,2,2,1
58,46,1,7,3,1,4,82,100,73,91,19,71,81,73.85714286,72.26388889,56.66666667,61.11111112,1,3,1
59,26,1,1,1,1,5,27,63,95,95,30,58,70,62.57142857,59.61111111,43.33333333,38.88888888,2,1,1
60,25,2,8,3,1,5,23,83,15,61,10,13,62,38.14285714,38.93055556,46.66666667,44.44444445,2,3,1
61,53,1,1,4,1,6,99,100,9,98,0,0,0,43.71428571,38.25,20,0,1,1,1
62,49,2,6,3,1,6,85,94,67,81,58,91,83,79.85714286,72.65277778,33.33333333,22.22222222,2,3,1
63,24,1,5,4,1,5,66,89,86,12,0,83,59,56.42857143,55.625,50,50,2,3,1
64,23,1,2,3,1,5,71,80,59,69,58,51,56,63.42857143,64.52777778,63.33333333,72.22222222,2,3,1
