wtp,vMC,aMC,subj,gender,age,TraitAnxiety
1,-4.557095319,4.557095319,1,0,21,35
0,2.586983492,2.586983492,1,0,21,35
99,14.45402369,14.45402369,1,0,21,35
52,-7.258072284,7.258072284,1,0,21,35
50,-3.275342889,3.275342889,1,0,21,35
7,-2.17279956,2.17279956,1,0,21,35
50,-2.716195487,2.716195487,1,0,21,35
49,2.003069057,2.003069057,1,0,21,35
0,1.760567969,1.760567969,1,0,21,35
49,7.589120548,7.589120548,1,0,21,35
50,-4.983319914,4.983319914,1,0,21,35
49,0.218465722,0.218465722,1,0,21,35
50,-2.834873202,2.834873202,1,0,21,35
50,0.766253018,0.766253018,1,0,21,35
,-2.950472804,2.950472804,1,0,21,35
85,8.734959645,8.734959645,1,0,21,35
52,5.767604037,5.767604037,1,0,21,35
52,-3.35089156,3.35089156,1,0,21,35
49,3.0047743,3.0047743,1,0,21,35
52,-9.384358559,9.384358559,1,0,21,35
51,-5.030129727,5.030129727,1,0,21,35
-51,-2.889053785,2.889053785,1,0,21,35
52,5.314967532,5.314967532,1,0,21,35
51,-8.205279756,8.205279756,1,0,21,35
49,-0.925025891,0.925025891,1,0,21,35
51,-0.63463437,0.63463437,1,0,21,35
49,-1.447102174,1.447102174,1,0,21,35
-51,-7.038628771,7.038628771,1,0,21,35
-51,-0.202208114,0.202208114,1,0,21,35
-50,1.559723608,1.559723608,1,0,21,35
49,3.78496844,3.78496844,1,0,21,35
51,8.811928763,8.811928763,1,0,21,35
51,-5.006288034,5.006288034,1,0,21,35
50,6.70919484,6.70919484,1,0,21,35
49,5.99125246,5.99125246,1,0,21,35
51,9.345114954,9.345114954,1,0,21,35
51,1.003273122,1.003273122,1,0,21,35
51,0.272025932,0.272025932,1,0,21,35
50,2.414147248,2.414147248,1,0,21,35
51,-2.137921347,2.137921347,1,0,21,35
51,-3.893354085,3.893354085,1,0,21,35
51,-7.516356169,7.516356169,1,0,21,35
50,1.305773736,1.305773736,1,0,21,35
50,4.941363674,4.941363674,1,0,21,35
50,3.405392115,3.405392115,1,0,21,35
49,-1.487728992,1.487728992,1,0,21,35
50,-1.210293044,1.210293044,1,0,21,35
51,2.890935279,2.890935279,1,0,21,35
,1.159645748,1.159645748,1,0,21,35
53,0.605909269,0.605909269,1,0,21,35
50,1.300090764,1.300090764,1,0,21,35
50,1.919491876,1.919491876,1,0,21,35
53,6.492916115,6.492916115,1,0,21,35
49,-3.918278532,3.918278532,1,0,21,35
48,11.21055051,11.21055051,1,0,21,35
47,-12.80647394,12.80647394,1,0,21,35
49,-6.76807106,6.76807106,1,0,21,35
50,-0.353105932,0.353105932,1,0,21,35
-45,-6.624616532,6.624616532,1,0,21,35
-50,-1.457899249,1.457899249,1,0,21,35
-47,4.545829308,4.545829308,1,0,21,35
-47,4.13673921,4.13673921,1,0,21,35
53,2.983198096,2.983198096,1,0,21,35
51,1.515450206,1.515450206,1,0,21,35
49,4.773270656,4.773270656,1,0,21,35
53,-0.864582511,0.864582511,1,0,21,35
51,-4.042930758,4.042930758,1,0,21,35
53,2.069489126,2.069489126,1,0,21,35
52,-6.378350677,6.378350677,1,0,21,35
52,-14.28850298,14.28850298,1,0,21,35
51,5.849750402,5.849750402,1,0,21,35
50,-0.183660461,0.183660461,1,0,21,35
46,-2.263647622,2.263647622,1,0,21,35
0,2.631742194,2.631742194,1,0,21,35
0,-2.216851617,2.216851617,1,0,21,35
0,2.702615799,2.702615799,1,0,21,35
1,2.536448866,2.536448866,1,0,21,35
1,4.995335948,4.995335948,1,0,21,35
1,7.531266182,7.531266182,1,0,21,35
0,10.68629732,10.68629732,1,0,21,35
1,-6.118591203,6.118591203,1,0,21,35
0,-1.223422998,1.223422998,1,0,21,35
2,-0.880311801,0.880311801,1,0,21,35
50,-1.349967892,1.349967892,1,0,21,35
49,1.563664258,1.563664258,1,0,21,35
50,3.959601985,3.959601985,1,0,21,35
0,1.879314515,1.879314515,1,0,21,35
0,-6.92439924,6.92439924,1,0,21,35
0,-5.194654608,5.194654608,1,0,21,35
-3,1.937908454,1.937908454,1,0,21,35
49,-5.421246077,5.421246077,1,0,21,35
52,0.558378213,0.558378213,1,0,21,35
50,9.690805632,9.690805632,1,0,21,35
52,-0.247293205,0.247293205,1,0,21,35
50,-2.901812776,2.901812776,1,0,21,35
0,-1.371569253,1.371569253,1,0,21,35
1,-1.636231748,1.636231748,1,0,21,35
,5.179165151,5.179165151,1,0,21,35
2,-3.354247244,3.354247244,1,0,21,35
2,0.861681922,0.861681922,1,0,21,35
49,-5.405067877,5.405067877,1,0,21,35
0,0.46071359,0.46071359,1,0,21,35
47,-1.735568727,1.735568727,1,0,21,35
49,-9.805230382,9.805230382,1,0,21,35
51,-0.567893385,0.567893385,1,0,21,35
47,2.84386818,2.84386818,1,0,21,35
0,3.072152526,3.072152526,1,0,21,35
1,-0.933723244,0.933723244,1,0,21,35
49,5.619241577,5.619241577,1,0,21,35
49,7.845624813,7.845624813,1,0,21,35
0,-2.921970628,2.921970628,1,0,21,35
51,-2.866493207,2.866493207,1,0,21,35
50,-3.76067762,3.76067762,1,0,21,35
48,2.485864888,2.485864888,1,0,21,35
48,-2.204464002,2.204464002,1,0,21,35
1,8.756601695,8.756601695,1,0,21,35
0,2.144023491,2.144023491,1,0,21,35
48,-8.190552429,8.190552429,1,0,21,35
3,3.408885031,3.408885031,1,0,21,35
0,-1.106678551,1.106678551,1,0,21,35
50,-7.205866246,7.205866246,1,0,21,35
49,3.629666041,3.629666041,1,0,21,35
48,4.659691094,4.659691094,1,0,21,35
39,2.174064565,2.174064565,1,0,21,35
31,3.392089836,3.392089836,1,0,21,35
47,-1.88450052,1.88450052,1,0,21,35
48,-9.308652918,9.308652918,1,0,21,35
49,-4.232301166,4.232301166,1,0,21,35
47,-0.642402928,0.642402928,1,0,21,35
2,6.130206375,6.130206375,1,0,21,35
,9.929054885,9.929054885,1,0,21,35
51,5.033184883,5.033184883,1,0,21,35
4,0.655699378,0.655699378,1,0,21,35
46,-6.924689689,6.924689689,1,0,21,35
51,7.599104713,7.599104713,1,0,21,35
5,0.297315798,0.297315798,1,0,21,35
2,2.743740666,2.743740666,1,0,21,35
0,-13.67590278,13.67590278,1,0,21,35
47,-2.145473723,2.145473723,1,0,21,35
3,3.923028152,3.923028152,1,0,21,35
2,5.552678673,5.552678673,1,0,21,35
46,-10.80051346,10.80051346,1,0,21,35
48,5.449139319,5.449139319,1,0,21,35
46,4.393348418,4.393348418,1,0,21,35
0,8.063257645,8.063257645,1,0,21,35
-4,3.918640008,3.918640008,1,0,21,35
0,-1.467840253,1.467840253,1,0,21,35
51,-0.04318793,0.04318793,1,0,21,35
48,0.694649704,0.694649704,1,0,21,35
45,-3.501607798,3.501607798,1,0,21,35
12,2.767062118,2.767062118,1,0,21,35
41,-1.533600417,1.533600417,1,0,21,35
50,-5.472885984,5.472885984,1,0,21,35
14,-5.656117737,5.656117737,1,0,21,35
,-3.480060896,3.480060896,1,0,21,35
50,2.746658086,2.746658086,1,0,21,35
47,9.576581596,9.576581596,1,0,21,35
53,0.110197528,0.110197528,1,0,21,35
50,5.601803563,5.601803563,1,0,21,35
48,-5.320131295,5.320131295,1,0,21,35
46,0.003217477,0.003217477,1,0,21,35
47,0.801508477,0.801508477,1,0,21,35
