wtp,vMC,aMC,subj,gender,age,ChangeAnxiety,group
16,-2.755133408,2.755133408,1,2,28,4,0
20,-6.910331595,6.910331595,1,2,28,4,0
4,1.147092336,1.147092336,1,2,28,4,0
11,-1.191655059,1.191655059,1,2,28,4,0
4,-1.810687103,1.810687103,1,2,28,4,0
15,-3.46764988,3.46764988,1,2,28,4,0
3,9.179314464,9.179314464,1,2,28,4,0
18,-4.758214366,4.758214366,1,2,28,4,0
20,-5.55874659,5.55874659,1,2,28,4,0
10,5.818561239,5.818561239,1,2,28,4,0
3,6.765300457,6.765300457,1,2,28,4,0
1,-5.835273065,5.835273065,1,2,28,4,0
8,-4.654202944,4.654202944,1,2,28,4,0
12,1.648680138,1.648680138,1,2,28,4,0
4,8.070189038,8.070189038,1,2,28,4,0
12,8.612918736,8.612918736,1,2,28,4,0
12,-7.145573911,7.145573911,1,2,28,4,0
6,-3.40730891,3.40730891,1,2,28,4,0
5,8.074755127,8.074755127,1,2,28,4,0
5,9.822747073,9.822747073,1,2,28,4,0
4,-5.472891126,5.472891126,1,2,28,4,0
10,1.125118273,1.125118273,1,2,28,4,0
4,-4.595313004,4.595313004,1,2,28,4,0
12,-11.1289184,11.1289184,1,2,28,4,0
2,7.635070181,7.635070181,1,2,28,4,0
6,-1.019901778,1.019901778,1,2,28,4,0
8,6.220029035,6.220029035,1,2,28,4,0
5,-7.681251239,7.681251239,1,2,28,4,0
7,1.514101937,1.514101937,1,2,28,4,0
6,8.232783194,8.232783194,1,2,28,4,0
3,3.500518201,3.500518201,1,2,28,4,0
10,-0.70311321,0.70311321,1,2,28,4,0
3,0.341464843,0.341464843,1,2,28,4,0
3,1.204636085,1.204636085,1,2,28,4,0
3,0.774402832,0.774402832,1,2,28,4,0
0,0.39529429,0.39529429,1,2,28,4,0
0,4.658905172,4.658905172,1,2,28,4,0
4,-2.201546293,2.201546293,1,2,28,4,0
0,-6.34960393,6.34960393,1,2,28,4,0
0,-1.275162453,1.275162453,1,2,28,4,0
6,-12.8821888,12.8821888,1,2,28,4,0
2,0.384001831,0.384001831,1,2,28,4,0
0,1.815545351,1.815545351,1,2,28,4,0
9,-3.648395744,3.648395744,1,2,28,4,0
3,-3.443447762,3.443447762,1,2,28,4,0
3,0.509659506,0.509659506,1,2,28,4,0
1,0.985123671,0.985123671,1,2,28,4,0
0,2.074484111,2.074484111,1,2,28,4,0
5,-7.308805989,7.308805989,1,2,28,4,0
7,11.79253546,11.79253546,1,2,28,4,0
2,0.706280493,0.706280493,1,2,28,4,0
5,-7.954163408,7.954163408,1,2,28,4,0
4,-8.767560344,8.767560344,1,2,28,4,0
4,5.453605954,5.453605954,1,2,28,4,0
10,-2.565917197,2.565917197,1,2,28,4,0
12,-2.495407325,2.495407325,1,2,28,4,0
0,1.06629474,1.06629474,1,2,28,4,0
8,-3.143101335,3.143101335,1,2,28,4,0
2,10.69357134,10.69357134,1,2,28,4,0
0,8.278945222,8.278945222,1,2,28,4,0
1,3.131711009,3.131711009,1,2,28,4,0
1,-3.567205982,3.567205982,1,2,28,4,0
1,-9.955892803,9.955892803,1,2,28,4,0
2,11.68352095,11.68352095,1,2,28,4,0
1,0.926251352,0.926251352,1,2,28,4,0
3,3.464603218,3.464603218,1,2,28,4,0
1,-1.870622035,1.870622035,1,2,28,4,0
1,-7.646160174,7.646160174,1,2,28,4,0
1,-3.676870741,3.676870741,1,2,28,4,0
3,1.01101946,1.01101946,1,2,28,4,0
6,0.615968181,0.615968181,1,2,28,4,0
1,-1.477940848,1.477940848,1,2,28,4,0
0,-0.727220318,0.727220318,1,2,28,4,0
0,-2.51143541,2.51143541,1,2,28,4,0
4,-2.827865362,2.827865362,1,2,28,4,0
2,1.640987086,1.640987086,1,2,28,4,0
7,-4.444632817,4.444632817,1,2,28,4,0
4,0.11088514,0.11088514,1,2,28,4,0
4,7.208751693,7.208751693,1,2,28,4,0
4,0.601255025,0.601255025,1,2,28,4,0
2,3.702091315,3.702091315,1,2,28,4,0
3,-8.711221125,8.711221125,1,2,28,4,0
7,4.55468649,4.55468649,1,2,28,4,0
3,4.871908876,4.871908876,1,2,28,4,0
2,-2.131599465,2.131599465,1,2,28,4,0
5,3.452439198,3.452439198,1,2,28,4,0
3,3.230545284,3.230545284,1,2,28,4,0
6,-1.203662683,1.203662683,1,2,28,4,0
2,7.854794622,7.854794622,1,2,28,4,0
2,-4.139968381,4.139968381,1,2,28,4,0
3,-6.975407078,6.975407078,1,2,28,4,0
1,-3.457065195,3.457065195,1,2,28,4,0
2,-7.407077469,7.407077469,1,2,28,4,0
2,7.907200623,7.907200623,1,2,28,4,0
4,6.604803484,6.604803484,1,2,28,4,0
1,-4.386257413,4.386257413,1,2,28,4,0
3,4.004327176,4.004327176,1,2,28,4,0
2,-12.39765658,12.39765658,1,2,28,4,0
2,4.86571651,4.86571651,1,2,28,4,0
7,5.427917392,5.427917392,1,2,28,4,0
2,-0.66611766,0.66611766,1,2,28,4,0
4,1.854843182,1.854843182,1,2,28,4,0
3,1.462174209,1.462174209,1,2,28,4,0
3,1.103606952,1.103606952,1,2,28,4,0
6,5.122093726,5.122093726,1,2,28,4,0
13,-2.604118217,2.604118217,1,2,28,4,0
2,-1.31817067,1.31817067,1,2,28,4,0
3,6.541221745,6.541221745,1,2,28,4,0
2,4.482525084,4.482525084,1,2,28,4,0
2,-3.706993524,3.706993524,1,2,28,4,0
2,-1.676162718,1.676162718,1,2,28,4,0
5,5.621351118,5.621351118,1,2,28,4,0
3,-3.401020626,3.401020626,1,2,28,4,0
-8,-6.176372733,6.176372733,1,2,28,4,0
3,5.942325783,5.942325783,1,2,28,4,0
8,-10.39307403,10.39307403,1,2,28,4,0
2,-0.754490023,0.754490023,1,2,28,4,0
3,-7.144309244,7.144309244,1,2,28,4,0
5,7.391721813,7.391721813,1,2,28,4,0
6,-6.197484305,6.197484305,1,2,28,4,0
2,4.953175547,4.953175547,1,2,28,4,0
2,-5.313868751,5.313868751,1,2,28,4,0
4,-2.676772356,2.676772356,1,2,28,4,0
7,-3.615347222,3.615347222,1,2,28,4,0
1,2.587620922,2.587620922,1,2,28,4,0
0,-4.563849569,4.563849569,1,2,28,4,0
3,-1.16538928,1.16538928,1,2,28,4,0
0,7.457131583,7.457131583,1,2,28,4,0
0,0.464960341,0.464960341,1,2,28,4,0
4,1.443024306,1.443024306,1,2,28,4,0
3,2.04120963,2.04120963,1,2,28,4,0
1,-2.312520724,2.312520724,1,2,28,4,0
2,7.302176243,7.302176243,1,2,28,4,0
